dist,fes,fes_r
2.29651591,61.145198962,55.83497969193512
2.3664357,35.52015525,51.459798624837894
2.43635549,17.651805972,32.6396637949017
2.5062752799999997,6.659354069,19.544648781827046
2.5761950700000003,1.275302961,14.076150130383228
2.64611486,0.0,7.433545908554123
2.71603465,1.285850008,3.309507014279343
2.7859544400000003,3.716214987,3.95232573536409
2.85587423,6.163975371,3.6776166524571625
2.9257940199999997,7.887260009,4.744930725375806
2.9957138100000003,8.55963388,6.874010549654721
3.0656336,8.247621357,8.155349267581295
3.13555339,7.322167016,5.630642299188914
3.2054731800000003,6.339056294,2.7680603082047317
3.27539297,5.908618118,4.044946386099047
3.3453127599999997,6.558670121,4.720811836321525
3.4152325500000003,8.635766705,4.289738284817214
3.48515234,12.236978471,9.83617562724887
3.55507213,17.214125199,17.762915595001736
3.6249919200000003,23.202086084,25.927056104605057
3.69491171,29.692256277,33.949466882555214
3.7648314999999997,36.112141867,43.610101397013814
3.8347512900000003,41.925790705,49.07356623389815
3.90467108,46.707803489,54.92639829195348
3.97459087,50.161656074,58.52310522978501
4.04451066,52.171087394,56.739879354741426
4.11443045,52.881956409,53.90979680509758
4.18435024,52.543743284,52.445223228388755
4.254270030000001,51.456476759,51.51096973608255
4.32418982,49.974266084,49.902511308411974
4.39410961,48.401061753,49.200398247452945
4.4640294,46.969301739,47.821195257587284
4.53394919,45.799869786,47.911010640152526
4.60386898,44.92219273,45.60677294566145
4.67378877,44.29767603,45.71757748001045
4.74370856,43.84958455,43.19841711301123
4.81362835,43.483823772,41.85581505650229
4.88354814,43.111764793,40.149453903764915
4.95346793,42.67182505,38.87333848518962
5.02338772,42.13842495,37.417803386807485
5.093307510000001,41.521072981,36.78809398517796
5.163227299999999,40.863133805,37.13240565364427
5.23314709,40.283056897,36.6940261477303
5.30306688,39.904065498,36.981428645982064
5.3729866699999995,39.798290557,36.99647312427082
5.44290646,39.980498496,36.84662838635393
5.51282625,40.432264601,38.44149586715075
5.58274604,41.10041016,38.636357911181456
5.65266583,41.905910668,39.89453271623078
5.72258562,42.754709777,41.01344045789448
5.7925054099999995,43.549137914,42.58219584142125
5.8624252,44.204027534,43.153317660823156
5.932344990000001,44.658690585,44.40873077699114
6.002264779999999,44.883589975,46.30627289381277
6.07218457,44.880260833,46.25140938686529
6.14210436,44.669410035,44.802946624208836
6.2120241499999995,44.294779271,43.044568468869976
6.28194394,43.80198207,41.58629407786697
6.35186373,43.246667079,39.62663940312258
6.42178352,42.68176874,38.98518809021237
6.49170331,42.135993608,38.066643556857905
6.5616231,41.635546746,37.21273170775301
6.6315428899999995,41.191369311,36.241173158574924
6.70146268,40.792230667,35.71697334558998
6.771382470000001,40.430177362,35.89264936881369
6.841302259999999,40.094222645,36.30301836723467
6.91122205,39.766443977,36.322650288182096
6.98114184,39.441473581,36.816128381076055
7.0510616299999995,39.113413121,36.849546813332374
7.12098142,38.785649942,37.56910777380106
7.19090121,38.469125565,37.739672224240714
7.260821,38.175070867,37.840702666648944
7.33074079,37.91012813,36.926583711312304
7.40066058,37.684511048,36.8891146759123
7.4705803699999995,37.510403999,35.88789427225499
7.54050016,37.385436151,35.344795957931474
7.610419950000001,37.294574567,34.713766129823895
7.680339739999999,37.229763524,34.51245461687869
7.75025953,37.180797792,34.321985967786944
7.82017932,37.134592927,33.55654854388695
7.8900991099999995,37.0875727,33.65441021944216
7.9600189,37.04599031,33.5029757024635
8.02993869,37.020005923,34.10401688730349
8.09985848,37.022678932,34.67861943075024
8.16977827,37.070136689,35.07020976607369
8.23969806,37.172421138,35.70246342499788
8.309617849999999,37.336427689,36.1419197408002
8.37953764,37.563047458,37.191249514285715
8.44945743,37.842685837,36.53161645467117
8.519377219999999,38.158424708,36.94965580393569
8.58929701,38.490557635,36.59153326460009
8.6592168,38.813429514,36.30801427686826
8.72913659,39.107763046,37.03198052371952
8.79905638,39.359906946,36.9176704209519
8.86897617,39.550622274,37.091467663027494
8.93889596,39.676624343,37.53866905392771
9.00881575,39.740722024,37.08079775191678
9.07873554,39.762258059,37.01591407739994
9.14865533,39.757158508,36.4773705349372
9.21857512,39.744005518,36.66066476507474
9.28849491,39.728098527,36.17578128354359
9.358414699999999,39.717325625,36.35378295748906
9.42833449,39.705549687,36.160579323913275
9.498254280000001,39.685565562,36.429226662843384
9.56817407,39.646679902,36.653736601627365
9.63809386,39.585408642,36.475028255691036
9.70801365,39.511492298,37.051738859525585
9.77793344,39.452804341,37.43383304976458
9.84785323,39.458698313,38.49312546974213
9.91777302,39.609905814,38.272440580320314
9.987692809999999,39.996673792,37.89440953853635
